Case Number,Nature of Offense,Date/Time Occurred,Date Reported,Incident Location,Disposition
UM 23-321064,Trespass / Warrant,12/02/2023 1634,12/02/23,309 19th Ave S,Closed
UM 23-321100,Warrant,12/02/2023 1712,12/02/23,390 29th Ave SE,Closed - Arrest
UM 23-320040,Auto Theft,12/01/2023 1423,12/01/23,2115 5th St S,FARRAR
UM 23-320051,Damage to Property,11/26/2023 0000,12/01/23,2275 Larpenteur Ave W,Inactive
UM 23-320093,Credit Card/ATM Fraud,08/09/2023 0000,12/01/23,231 Pillsbury Dr SE,CARLSON
UM 23-317827,Warrant,11/29/2023 0733,11/29/23,526 Delaware St SE,Closed - Arrest
UM 23-317838,Warrant,11/29/2023 0756,11/29/23,2301 University Ave SE,Closed - Arrest
UM 23-318325,Theft,11/29/2023 1800,11/29/23,1811 5th St SE,Inactive
UM 23-318459,Health Welfare Hold / Use of Force / Crisis,11/29/2023 2112,11/29/23,614 Delaware St SE,Closed
,Intervention,,
UM 23-317687,Assault,11/29/2023 0003,11/29/23,269 19th Ave S,Inactive
UM 23-316969,UM Parking Violation,11/28/2023 0830,11/28/23,1502 5th St SE,Closed - Cited
UM 23-316993,Theft by Swindle,11/20/2023 0100,11/28/23,Washington Ave SE / Church St SE,THOMAS
UM 23-317094,Crisis Intervention,11/28/2023 1057,11/28/23,615 Fulton St SE,Closed
UM 23-317194,Bike Theft,11/22/2023 1500,11/28/23,701 15th Ave SE,Inactive
UM 23-317288,Hit/Run Property Damage,11/28/2023 1522,11/28/23,385 River Pkwy E,Inactive
UM 23-317580,Overdose,11/28/2023 2121,11/28/23,1 Washington Ave SE,Closed
UM 23-316925,Driving After Revocation,11/28/2023 0545,11/28/23,I94 / Snelling Ave N,Closed - Cited
MP 23-313969,Hit and Run-Property Damage,11/24/2023 15:05,11/29/23,22nd Ave S & Riverside Ave,MPD
MP 23-714913,Hit and Run-Property Damage,11/26/2023 17:10,11/29/23,Huron Blvd SE & Fulton St SE,MPD
MP 23-714647,Damage to Motor Vehicle,11/16/2023 16:35,11/29/23,701 15th Ave SE,MPD
UM 23-316061,Trespass,11/27/2023 0757,11/27/23,333 East River Pkwy,Closed - Cited
UM 23-316095,Warrant,11/27/2023 0852,11/27/23,Cedar Ave S / Interstate 94,Closed - Arrest
UM 23-315125,Warrant,11/25/2023 2258,11/26/23,University Ave SE / Malcolm Ave SE,Closed - Arrest
UM 23-315418,Motor Vehicle Accident Damage Report,11/26/2023 1055,11/26/23,Oak St SE / Washington Ave SE,Closed
UM 23-315525,Theft From Motor Vehicle / Damage to Motor,11/21/2023 1200,11/26/23,401 Oak St SE,THOMAS
,Vehicle,,
MP 23-315286,Criminal Sexual Conduct - Rape,11/26/2023 0200,11/26/23,701 15th Ave SE,MPD
UM 23-314896,Obstruct Legal Process,11/25/2023 1755,11/25/23,2009 University Ave SE,CARLSON
UM 23-313977,Bike Theft,11/24/2023 1519,11/24/23,1122 University Ave SE,Closed - Cited
UM 23-314128,Flee Police in Motor Vehicle,11/24/2023 1840,11/24/23,Washington Ave SE / Ontario St SE,THOMAS
UM 23-313073,Miscellaneous,11/23/2023 0222,11/23/23,300 Washington Ave SE,Closed
UM 23-313191,Assist Other Agency,11/23/2023 0900,11/23/23,2301 University Ave SE,Closed
UM 23-313211,Damage to Property,11/22/2023 2300,11/23/23,417 Walnut St SE,Inactive
UM 23-313506,Narcotics Violation / Trespass / Warrant,11/23/2023 1927,11/23/23,615 Washington Ave SE,CARLSON
UM 23-266342,Indecent Conduct,10/03/2023 1430,11/22/23,117 Pleasant St SE,ACTIVE
UM 23-312336,Theft From Building,11/22/2023 1000,11/22/23,615 Washington Ave SE,Inactive
UM 23-312393,Burglary of Business,11/16/2023 0000,11/22/23,1985 Buford Ave,Inactive
UM 23-312475,Hit/Run Property Damage,11/22/2023 1255,11/22/23,2554 Como Ave,Inactive
UM 23-312640,Auto Theft,11/22/2023 0428,11/22/23,1024 27th Ave SE,HUCK
UM 23-312182,Assault,11/22/2023 0215,11/22/23,192 Pillsbury Dr SE,Inactive
UM 23-311421,Nonconsenual Dissemination of Private Images,09/01/2023 0001,11/21/23,614 Delaware St SE,HUCK
UM 23-311454,Hit/Run Property Damage,11/21/2023 0928,11/21/23,601 Delaware St SE,THOMAS
UM 23-311633,Motor Vehicle Accident Damage Report /,11/21/2023 1345,11/21/23,University Ave SE / 17th Ave SE,Closed - Cited
,Driving After Revocation,,
UM 23-311867,Bike Theft,11/21/2023 1730,11/21/23,15 Church St SE,Inactive
UM 23-310747,Indecent Conduct,11/07/2023 1250,11/20/23,117 Pleasant St SE,LAPP
UM 23-310430,Damage to Motor Vehicle,11/16/2023 1530,11/20/23,401 Oak St SE,Inactive
UM 23-310564,Trespass,11/20/2023 1045,11/20/23,110 Union St SE,Closed - Cited
UM 23-310580,Theft from Building,11/17/2023 1200,11/20/23,701 Fulton St SE,Inactive
UM 23-310599,Damage to Motor Vehicle,11/19/2023 1550,11/20/23,320 23rd Ave SE,Inactive
UM 23-310784,Trespass,11/20/2023 1516,11/20/23,321 Pillsbury Ave SE,Closed
UM 23-310942,Damage to Property,11/15/2023 0600,11/20/23,401 Oak St SE,Inactive
UM 23-311062,Bike Theft,11/20/2023 1515,11/20/23,200 Union St SE,Inactive
UM 23-309393,Driving After Suspension,11/19/2023 0018,11/19/23,4th St SE / 11th Ave SE,Closed - Cited
UM 23-309431,Domestic Assault / Violation of Restraining,11/19/2023 0045,11/19/23,1625 4th St SE,CARLSON
,Order / Hit/Run Property Damage,,,
UM 23-309691,Non-Vehicular Accident,11/19/2023 1048,11/19/23,University Ave SE / 15th Ave SE,Closed
UM 23-309979,Driving After Revocation / No Insurance on,11/19/2023 1647,11/19/23,Harvard St SE / Beacon St SE,Closed - Cited
,Motor Vehicle,,,
UM 23-310025,Aggravated Robbery of Person,11/19/2023 1734,11/19/23,1122 University Ave SE,CARLSON
UM 23-310134,Flee Police In Motor Vehicle,11/19/2023 1933,11/19/23,Huron Blvd SE / University Ave SE,Closed
UM 23-308457,Missing Person,11/18/2023 0140,11/18/23,500 Havard St SE,THOMAS
UM 23-308748,Damage to Property,11/17/2023 2000,11/18/23,1122 University Ave SE,HUCK
UM 23-308846,Damage to Property,11/18/2023 1420,11/18/23,1926 Unviersity Ave SE,CARLSON
UM 23-308956,Auto Theft,11/18/2023 1200,11/18/23,1033 29th Ave SE,Inactive
UM 23-308971,Damage to Motor Vehicle,11/18/2023 1100,11/18/23,501 Washington Ave SE,Inactive
UM 23-307706,Theft of Motor Vehicle Parts,11/12/2023 1700,11/17/23,1196 Fifield Ave,Inactive
UM 23-307823,Bike Theft,11/17/2023 1115,11/17/23,267 19th Ave S,FARRAR
UM 23-307857,Indecent Conduct,09/08/2023 1400,11/17/23,117 Pleasant St SE,Closed
UM 23-307866,Health Welfare Hold,11/17/2023 1325,11/17/23,89 Church St SE,Closed
UM 23-307914,Non-Vehicular Accident,11/17/2023 1410,11/17/23,80 Church St SE,Closed
MP 23-714509,Theft,11/12/2023 1:50,11/17/23,2450 Riverside Ave SE,MPD
MP 23-714465,Theft,11/15/2023 0:00,11/17/23,615 Fulton St SE,MPD
MP 23-714410,Damage to Motor Vehicle,11/13/2023 7:30,11/17/23,15th Ave SE & 6th St SE,MPD
MP 23-305479,Auto Theft,11/14/2023 18:00,11/17/23,701 15th Ave SE,MPD
UM 23-306999,Stalking,08/10/2023 0000,11/16/23,75 E River Pkwy,HUCK
UM 23-307063,Indecent Conduct,11/06/2023 1435,11/16/23,Pillsbury Dr SE / Pleasant St SE,LAPP
UM 23-306755,Indecent Conduct,11/06/2023 1430,11/16/23,116 Church St SE,Closed
UM 23-306895,Indecent Conduct,10/31/2023 1100,11/16/23,207 Pleasant St SE,Closed
UM 23-306942,Driving After Revocation,11/16/2023 1320,11/16/23,1800 University Ave SE,Closed - Cited
UM 23-306951,Indecent Conduct,11/07/2023 1512,11/16/23,117 Pleasant St SE,LAPP
UM 23-306600,Bike Theft,11/16/2023 0117,11/16/23,326 17th Ave SE,HUCK
UM 23-306712,Warrant,11/16/2023 0818,11/16/23,15th Ave SE / Rollins Ave SE,Closed - Arrest
UM 23-306795,Theft of Motor Vehicle Parts,11/15/2023 1900,11/16/23,1212 Ray Place,HUCK
UM 23-306879,Bike Theft,11/16/2023 0500,11/16/23,2901 Talmage Ave SE,Inactive
UM 23-306981,Bike Theft,11/16/2023 1340,11/16/23,2001 Bloomington Ave,FARRAR
UM 23-307038,Theft,11/15/2023 1945,11/16/23,909 Fulton St SE,Inactive
UM 23-307161,Assault,11/16/2023 1621,11/16/23,Pleasant St SE / Pillsbury Dr SE,CARLSON
UM 23-307487,Driving After Suspension,11/16/2023 2323,11/16/23,Church St SE / Washington Ave SE,Closed - Cited
UM 23-306192,Damage to Motor Vehicle,11/02/2023 0930,11/15/23,385 E River Pkwy,Inactive
UM 23-305857,Damage to Motor Vehicle,11/12/2023 2000,11/15/23,390 29th Ave SE,Case Continued
UM 23-305970,Recovered Property,11/15/2023 1229,11/15/23,206 Church St SE,Closed
UM 23-306069,Extortion/Blackmail,11/14/2023 2200,11/15/23,412 22nd Ave SE,Closed
UM 23-306100,Miscellaneous,11/15/2023 1430,11/15/23,117 Pleasant St SE,THOMAS
UM 23-306167,Miscellaneous,11/15/2023 1549,11/15/23,Pleasant St SE / Alrington St SE,THOMAS
UM 23-306169,Miscellaneous,11/15/2023 1426,11/15/23,117 Pleasant St SE,THOMAS
UM 23-306244,Miscellaneous,11/08/2023 1355,11/15/23,117 Pleasant St SE,THOMAS
UM 23-306428,Bike Theft,11/15/2023 1400,11/15/23,101 Pleasant St SE,Inactive
UM 23-305039,Theft of Motor Vehicle Parts,11/13/2023 830,11/14/23,1976 Folwell Ave,Inactive
UM 23-305116,Theft,11/04/2023 0001,11/14/23,1801 Dudley Ave,Inactive
UM 23-305303,Recovered Property,11/14/2023 1704,11/14/23,501 Washington Ave SE,Closed
MP 23-714342,Damage to Motor Vehicle,11/8/2023 14:30,11/14/23,515 Delaware St SE,MPD
MP 23-301002,Assault,11/9/2023 21:55,11/14/23,Washington Ave SE & Oak St SE,MPD
MP 23-714402,Damage to Motor Vehicle,11/14/2023 8:55,11/14/23,Fulton St SE & Erie St SE,MPD
UM 23-305021,Miscellaneous,11/13/2023 1120,11/14/23,207 Pleasant St SE,Closed
UM 23-305140,Auto Theft,11/14/2023 1408,11/14/23,1056 27th Ave SE,HUCK
UM 23-305325,Mysterious Disapearance,11/12/2023 2030,11/14/23,326 17th Ave SE,Closed
UM 23-305359,Mysterious Disapearance,11/13/2023 2220,11/14/23,501 Washington Ave SE,Closed
UM 23-305432,Assault,11/14/2023 1940,11/14/23,326 17th Ave SE,HUCK
UM 23-304068,Theft from Building,11/10/2023 1400,11/13/23,1980 Folwell Ave,Inactive
UM 23-304153,Auto Theft,11/13/2023 1050,11/13/23,2115 5th St S,Inactive
UM 23-304226,Theft from Motor Vehicle,11/13/2023 0900,11/13/23,615 Washington Ave SE,Inactive
UM 23-304445,Bike Theft,11/13/2023 1145,11/13/23,Pleasant St SE / Pillsbury Dr SE,Inactive
UM 23-303182,Theft,11/12/2023 0042,11/12/23,501 Washington Ave SE,LAPP
UM 23-303210,Theft,11/12/2023 0000,11/12/23,615 Fulton St SE,Inactive
UM 23-303373,Theft,11/10/2023 1545,11/12/23,309 19th Ave S,Inactive
UM 23-303711,Warrant,11/12/2023 2139,11/12/23,505 Washington Ave SE,Closed - Arrest
UM 23-302036,Damage to Property,11/11/2023 0038,11/11/23,615 Washington Ave SE,CARLSON
UM 23-302339,Damage to Property,11/11/2023 0146,11/11/23,417 Walnut St SE,HUCK
UM 23-302440,Health Welfare Hold,11/11/2023 1329,11/11/23,23rd Ave SE / Huron Blvd SE,Closed
UM 23-301526,Assist Other Agency,11/10/2023 1353,11/10/23,1979 Knapp St,Closed
UM 23-301554,Damage to Motor Vehicle,11/09/2023 1210,11/10/23,1395 Gortner Ave,Inactive
UM 23-301677,Narcotics Violation / Warrant,11/10/2023 1719,11/10/23,2nd St SE / 10 Ave SE,THOMAS
UM 23-301945,Miscellaneous,11/10/2023 2255,11/10/23,501 Washington Ave SE,Closed
MP 23-292466,Assault,10/31/2023 19:10,11/10/23,2312 6th St S,MPD
MP 23-293000,Assault,10/28/2023 21:15,11/10/23,2450 Riverside Ave S,MPD
MP 23-291132,Theft,10/25/2023 23:00,11/10/23,2450 Riverside Ave S,MPD
MP 23-714158,Theft,11/08/2023 16:20,11/10/23,89 Church St SE,MPD
MP 23-713982,Package Theft,11/02/2023 09:30,11/10/23,1038 6th St SE,MPD
MP 23-296124,Narcotics Violation/DWI/Minor Consume,11/04/2023 17:39,11/10/23,Oak St SE & 4th St SE,MPD
UM 23-300452,Trespass,11/09/2023 1230,11/09/23,300 Washington Ave SE,Closed
UM 23-300664,Miscellaneous,11/08/2023 1800,11/09/23,1121 University Ave SE,Closed
UM 23-300912,Bike Theft,11/04/2023 1435,11/09/23,2010 6th St SE,Inactive
UM 23-300991,Trespass,11/09/2023 2135,11/09/23,80 Church St SE,Closed
UM 23-300548,Damage to Property-Graffitti,11/09/2023 1315,11/09/23,420 Delaware St SE,THOMAS
UM 23-300472,Trespass,11/09/2023 1317,11/09/23,420 Delaware St SE,Closed
UM 23-300202,Trespass,11/09/2023 0549,11/09/23,80 Church St SE,Closed
UM 23-299891,Criminal Sexual Conduct-Molest,11/08/2023 1920,11/08/23,117 Pleasant St SE,LAPP
UM 23-304164,Miscellaneous,11/02/2023 2041,11/08/23,516 Delaware St SE,Closed
UM 23-299398,Trespass,11/08/2023 1006,11/08/23,615 Washington Ave SE,Closed
UM 23-299410,Damage to Motor Vehicle,11/08/2023 0250,11/08/23,1049 5th St SE,Inactive
UM 23-299461,Health Welfare Hold,11/08/2023 1118,11/08/23,410 Church St SE,Closed
UM 23-299616,Miscellaneous,11/06/2023 1200,11/08/23,267 19th Ave S,Closed
UM 23-299720,Damage to Motor Vehicle,11/08/2023 0500,11/08/23,401 Oak St SE,Inactive
UM 23-299044,Flee Police In Motor Vehicle,11/07/2023 2042,11/08/23,25 Ave SE / University Ave SE,Inactive
UM 23-298496,Burglary of Business,11/06/2023 1715,11/07/23,111 Church St SE,Inactive
UM 23-298649,Traffic Law Enforcement,11/07/2023 1305,11/07/23,15th Ave SE / 8th St SE,Closed - Cited
UM 23-298672,Miscellaneous,11/07/2023 1230,11/07/23,200 Union St SE,Inactive
UM 23-299042,Trespass / False Name or Info / Warrant,11/07/2023 2039,11/07/23,501 Washington Ave SE,PRINTZ
UM 23-299127,Non-Vehicular Accident,11/07/2023 2244,11/07/23,123 Harvard St SE,Closed
UM 23-297528,Theft,11/04/2023 0635,11/06/23,300 Washington Ave SE,THOMAS
UM 23-297762,Damage to Property,11/05/2023 1300,11/06/23,909 Fulton St SE,LAPP
UM 23-297957,Bike Theft,11/06/2023 1658,11/06/23,229 19th Ave S,FARRAR
UM 23-298141,Motor Vehicle Accident Injurt Report,11/06/2023 2100,11/06/23,23rd Ave SE / 6th St SE,Closed
UM 23-297029,Warrant,11/05/2023 1613,11/05/23,516 Delaware St SE,Closed - Arrest
UM 23-296803,Damage to Property-Graffitti,11/04/2023 0034,11/05/23,123 Harvard St SE,CARLSON
UM 23-297206,Non-Vehicular Accident,11/05/2023 1933,11/05/23,600 25th Ave SE,Closed
UM 23-296161,Damage to Property,11/03/2023 2100,11/04/23,21 11th Ave SE,Inactive
UM 23-294711,Narcotics Violation / Warrant,11/03/2023 0452,11/03/23,300 Washington Ave SE,THOMAS
UM 23-294774,Terroristic Threats,10/17/2023 1200,11/03/23,308 Harvard St SE,HUCK
UM 23-294945,Damage to Property,10/27/2023 1030,11/03/23,111 Church St SE,Inactive
UM 23-294992,Bike Theft,10/23/2023 1400,11/03/23,326 27th Ave SE,Inactive
UM 23-295022,Damage to Property,10/26/2023 0830,11/03/23,400 21st Ave,Inactive
UM 23-295100,Bike Theft,11/03/2023 1400,11/03/23,89 Church St SE,Inactive
UM 23-295280,Bike Theft,11/03/2023 1230,11/03/23,207 Pleasant St SE,Inactive
UM 23-295339,Driving After Revocation,11/03/2023 2014,11/03/23,1212 University Ave SE,Closed - Cited
UM 23-295432,Trespass,11/03/2023 2228,11/03/23,615 Washington Ave SE,Closed - Arrest
UM 23-294600,Driving After Revocation,11/03/2023 0013,11/03/23,University Ave SE / Huron Blvd,Closed - Cited
UM 23-294638,Crisis Intervention,11/03/2023 0115,11/03/23,1122 University Ave SE,Closed
UM 23-293831,Bike Theft,10/31/2023 0900,11/02/23,210 Delaware St SE,Inactive
UM 23-293875,Damage to Property - Graffitti,10/01/2023 0000,11/02/23,1002 Como Ave SE,Inactive
UM 23-294108,Motor Vehicle Accident Injury Report,11/02/2023 1525,11/02/23,Washington Ave SE to 3rd St S,Inactive
UM 23-293646,Miscellaneous,11/01/2023 1554,11/02/23,123 Harvard St SE,CARLSON
UM 23-292857,Trespass,11/01/2023 0811,11/01/23,15 Church St SE,Closed - Arrest
UM 23-293527,Obstruct Legal Process / Warrant,11/01/2023 2217,11/01/23,309 19th Ave S,CARLSON
UM 23-292032,Burglary of Business,10/27/2023 1200,10/31/23,257 19th Ave S,Inactive
UM 23-292309,Theft,10/31/2023 0337,10/31/23,701 Fulton St SE,HUCK
UM 23-292341,Unsecure Business,10/31/2023 1639,10/31/23,222 Pleasant St SE,Closed
UM 23-292584,Non-Vehicular Accident,10/31/2023 2227,10/31/23,123 Harvard Ave SE,Closed
UM 23-291245,Theft from Building / Credit Card/ATM Fraud,10/29/2023 1800,10/30/23,615 Fulton St SE,HUCK
UM 23-291791,Driving After Revocation,10/30/2023 2308,10/30/23,4th St SE / 17th Ave SE,Closed - Cited
UM 23-290653,Bike Theft / Recovered Property,10/29/2023 1702,10/29/23,412 22nd Ave S,Closed
UM 23-290685,Warrant,10/29/2023 1741,10/29/23,501 Washington Ave SE,Closed - Arrest
UM 23-290922,Warrant,10/29/2023 2347,10/29/23,1000 Block 4th St SE,Closed - Arrest
UM 23-289093,Driving After Revocation,10/28/2023 0007,10/28/23,23rd ave SE / University Ave SE,Closed - Cited
UM 23-289232,Motor Vehicle Accident Damage Report / No,10/28/2023 0300,10/28/23,701 Fulton St SE,Closed - Cited
,Insurance / No Valid Driver's License,,
UM 23-289609,Narcotics Violation / Warrant,10/28/2023 1602,10/28/23,390 29th Ave SE,CARLSON
UM 23-289715,Bike Theft,10/28/2023 1030,10/28/23,418 21th Ave S,Inactive
UM 23-289716,Recovered Property,10/28/2023 1737,10/28/23,3100 Intercampus Transitway,Closed
UM 23-289925,Damage to Property,10/28/2023 2134,10/28/23,1521 University Ave SE,PRINTZ
UM 23-288314,Trespass,10/27/2023 1016,10/27/23,300 19th Ave S,Closed
UM 23-288349,Damage to Property,10/27/2023 0050,10/27/23,319 15th Ave SE,CARLSON
UM 23-288454,Theft,10/27/2023 0900,10/27/23,308 Harvard St SE,THOMAS
UM 23-288582,Damage to Property,10/27/2023 1300,10/27/23,301 19th Ave S,Inactive
UM 23-288597,Warrant,10/27/2023 1609,10/27/23,6th St SE / 23rd Ave SE,Closed - Arrest
UM 23-288645,Indecent Exposure,10/27/2023 1635,10/27/23,200 Union St SE,Closed
UM 23-288824,Mysterious Disapearance,10/27/2023 1730,10/27/23,100 Church St SE,Closed
MP 23-713320,Hit and Run-unattended vehicle,10/24/2023 11:25,10/27/23,1914 Riverside Ave S,MPD
MP 23-713390,Theft from Building,10/25/2023 17:20,10/27/23,300 Washington Ave SE,MPD
MP 23-713393,Theft,10/18/2023 22:35,10/27/23,500 Harvard St SE,MPD
MP 23-287188,Hit and Run-No injury,10/26/2023 5:18,10/27/23,7th St SE & 15th Ave SE,MPD
CL23-068,Liquor Law Violation x 2,3/22/2023,2345,Comstock Hall,Disciplinary Referral
CL23-095,Liquor Law Violation,9/22/2023,2345,17th Ave Hall,Disciplinary Referral
CL23-057,Liquor Law Violation,3/17/2023,2330,Sanford Hall,Disciplinary Referral
CL23-087,Liquor Law Violation,9/30/2023,2330,Territorial Hall,Disciplinary Referral
CL23-088,Liquor Law Violation x 4,9/30/2023,2330,Frontier Hall,Disciplinary Referral
CL23-093,Liquor Law Violation x 2,9/29/2023,2330,Territorial Hall,Disciplinary Referral
CL23-090,Liquor Law Violation,10/14/2023,2320,17th Ave Hall,Disciplinary Referral
CL23-094,Liquor Law Violation,9/23/2023,2320,Sanford Hall,Disciplinary Referral
CL23-098,Liquor Law Violation,9/16/2023,2305,Sanford Hall,Disciplinary Referral
CL23-086,Liquor Law Violation,9/30/2023,2304,Territorial Hall,Disciplinary Referral
CL23-070,Liquor Law Violation x 6,4/13/2023,2230,17th Ave Hall,Disciplinary Referral
CL23-061,Fondling,2/6/2023,2200,Comstock Hall,CSA Report
CL23-072,Drug Law Violation,3/21/2023,2200,Middlebrook Hall,Disciplinary Referral
CL23-085,Liquor Law Violation x 5,10/6/2023,2030,Sanford Hall,Disciplinary Referral
CL23-067,Drug Law Violation x 2,3/30/2023,1830,Comstock Hall,Disciplinary Referral
CL23-059,Liquor Law Violation,4/6/2023,1630,Bailey Hall,Disciplinary Referral
CL23-058,Liquor Law Violation,3/26/2023,330,Frontier Hall,Disciplinary Referral
CL23-069,Liquor Law Violation,4/16/2023,200,Middlebrook Hall,Disciplinary Referral
CL23-066,Drug Law Violation x 2,4/30/2023,115,Sanford Hall,Disciplinary Referral
CL23-071,Liquor Law Violation,4/15/2023,115,Pioneer Hall,Disciplinary Referral
CL23-074,Liquor Law Violation,4/16/2023,105,Sanford Hall,Disciplinary Referral
CL23-073,Liquor Law Violation,4/15/2023,100,Territorial Hall,Disciplinary Referral
CL23-063,Rape/ Domestic Violence,Fall 2021,Sanford Hall,CSA Report
CL23-084,Intimidation: Religion Bias,10/11/2023,Northrop Mall,CSA Report
CL23-099,Rape,10/22/2023 23:59,10/27/23,Minneapolis Residence Hall,CSA Report
CL23-100,Liquor Law Violation x 3,10/19/2023 23:36,10/27/23,Middlebrook Hall,Disciplinary Referral
CL23-101,Liquor Law Violation x 4,9/15/2023 23:16,10/27/23,17th Ave Hall,Disciplinary Referral
CL23-102,Liquor Law Violation,9/4/2023 1:15,10/27/23,Territorial Hall,Disciplinary Referral
CL23-103,Liquor Law Violation x 5,9/3/2023 1:23,10/27/23,Territorial Hall,Disciplinary Referral
CL23-104,Liquor Law Violation x 4,9/2/2023 20:08,10/27/23,Territorial Hall,Disciplinary Referral
CL23-105,Liquor Law Violation x 6,9/2/2023 1:30,10/27/23,Territorial Hall,Disciplinary Referral
CL23-106,Liquor Law Violation,9/1/2023 1:45,10/27/23,Territorial Hall,Disciplinary Referral
CL23-107,Aggravated Assault,8/30/2023 16:00,10/27/23,Church St SE/ Pillsbury Dr SE,CSA Report
CL23-108,Liquor Law Violation x 3,8/30/2023 2:30,10/27/23,Yudof Hall,Disciplinary Referral
UM 23-288120,Trespass / Warrant,10/27/2023 0132,10/27/23,1300 2nd St S,Closed
UM 23-287695,Non-consenual Dissemination of Private,10/02/2023 0000,10/26/23,128 Pleasant St SE,FARRAR
,Sexual Images,,
UM 23-287288,Criminal Sexual Conduct - Rape,10/21/2023 2300,10/26/23,615 Fulton St SE,FARRAR
UM 23-287651,Bike Theft,10/20/2023 0645,10/26/23,500 Harvard St SE,Inactive
UM 23-288010,Miscellaneous,10/26/2023 2242,10/26/23,1 Washington Ave SE,Closed
UM 23-286613,Bike Theft,10/21/2023 1930,10/25/23,412 22nd Ave S,HUCK
UM 23-286361,Theft from Building / Credit Card/ATM Fraud,10/25/2023 0735,10/25/23,200 Oak St SE,CARLSON
UM 23-286385,Theft from Building,10/19/2023 2200,10/25/23,330 21st Ave S,FARRAR
UM 23-286539,Warrant,10/25/2023 1310,10/25/23,Park Ave S / 5th St S,Closed - Arrest
UM 23-286563,Warrant,10/25/2023 1340,10/25/23,1 19th Ave S,Closed - Arrest
UM 23-286599,MPD Squad Accident,10/25/2023 1410,10/25/23,2009 University Ave SE,Closed
UM 23-286689,Auto Theft,10/25/2023 1604,10/25/23,1002 Essex St SE,THOMAS
UM 23-286230,Bike Theft,10/24/2023 1600,10/25/23,117 Pleasant St SE,Inactive
UM 23-285563,Theft / Possession of Burglary Tools,10/24/2023 0830,10/24/23,200 Union St SE,THOMAS
UM 23-285721,Theft,10/24/2023 0920,10/24/23,300 Washington Ave SE,Inactive
UM 23-285800,Theft of Motor Vehicle Parts,10/22/2023 2100,10/24/23,401 Oak St SE,Inactive
UM 23-285806,Damage to Motor Vehicle,10/24/2023 0824,10/24/23,300 19th Ave S,Inactive
UM 23-284711,Bike Theft,10/20/2023 1700,10/23/23,89 Church St SE,Inactive
CL23-080,Stalking,Spring 2023,NR,St. Paul Residential Facility,CSA Report
CL23-060,Stalking,Spring 2023,NR,Minneapolis Campus,CSA Report
CL23-062,Stalking,Spring 2023,NR,Carlson School of Management,CSA Report
CL23-064,Stalking/ Dating Violence,Fall 2022 - Spring 2023,NR,Minneapolis Campus,CSA Report
CL23-065,Stalking,Spring 2023,NR,Minneapolis Campus,CSA Report
CL23-075,Rape,2/18/2023,NR,Territorial Hall,CSA Report
CL23-076,Stalking,Spring 2023,NR,Minneapolis Campus,CSA Report
CL23-077,Fondling,3/9/2023,NR,UMN Study Abroad: Ireland,CSA Report
CL23-078,Drug Law Violation,12/9/2022,NR,Comstock Hall,Disciplinary Referral
CL23-079,Stalking,Fall 2022 - Spring 2023,NR,St. Paul Residential Facility,CSA Report
CL23-080,Stalking,Spring 2023,NR,St. Paul Residential Facility,CSA Report
CL23-081,Fondling,Fall 2022,NR,Centennial Hall,CSA Report
CL23-082,Stalking,Fall 2023,NR,Minneapolis Campus,CSA Report
CL23-083,Intimidation: Religion Bias,10/9/2023,NR,10 Church St Bldg,CSA Report
CL23-089,Stalking,Fall 2023,NR,Cedar Creek Ecosystem Science Reserve CSA Report,
CL23-091,Liquor Law Violation,10/2/2023,NR,Centennial Hall,Disciplinary Referral
CL23-096,Rape,9/20/2023,NR,Minneapolis Residence Hall,CSA Report
CL23-092,Liquor Law Violation,9/30/2023,115,Middlebrook Hall,Disciplinary Referral
CL23-097,Liquor Law Violation x 3,9/17/2023,114,Territorial Hall,Disciplinary Referral
MP 23-712884,Bike Theft,10/17/2023 18:00,10/23/23,269 19th Ave S,MPD
MP 23-712496,Theft from Building,10/5/2023 5:45,10/23/23,1925 4th St S,MPD
MP 23-277780,Auto Theft,10/16/2023 3:11,10/23/23,20th Ave S & Riverside Ave,MPD
MP 23-274468,Assault,10/12/2023 11:46,10/23/23,525 23rd Ave S,MPD
MP 23-275859,Domestic Assault,10/13/2023 21:50,10/23/23,2450 Riverside Ave S,MPD
MP 23-281056,Assault,10/19/2023 18:45,10/23/23,2414 7th St S,MPD
MP 23-713136,Bike Theft,9/22/2023 14:30,10/23/23,615 Fulton St SE,MPD
MP 23-712843,Bike Theft,10/16/2023 0:00,10/23/23,701 Fulton St SE,MPD
MP 23-712708,Hit and Run-Property Damage,10/13/2023 18:50,10/23/23,Huron Blvd SE & Fulton St SE,MPD
MP 23-712729,Bike Theft,10/14/2023 20:05,10/23/23,116 Church St SE,MPD
MP 23-713029,Bike Theft,10/19/2023 10:00,10/23/23,University Ave SE & Pleasant St,MPD
,,SE,
MP 23-712504,Theft of Motor Vehicle Parts,10/10/2023 10:00,10/23/23,1038 6th St SE,MPD
UM 23-283924,Credit Card/ATM Fraud,10/20/2023 1030,10/22/23,412 22nd Ave S,Inactive
UM 23-282273,Flee Police in Motor Vehicle,10/21/2023 0050,10/21/23,University Ave SE / 10th Ave SE,Closed
UM 23-282342,Possession of Firearm / Narcotics Violation /,10/21/2023 0235,10/21/23,2nd St SE / 8th Ave SE,CARLSON
,Driving While Intoxicated,,
